index	lang_reg	question	multiple_choice_options	correct_answer
11	ta-SG	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?	"செலத்தார் விமான நிலையம் (Seletar Airport)
சாங்கி விமான நிலையம் (Changi Airport)
பாய லேபார் விமான நிலையம் (Paya Lebar Airport)
மரீனா பே விமான நிலையம் (Marina Bay Airport)"	சாங்கி விமான நிலையம் (Changi Airport)
12	ta-SG	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?	"பிப்ரவரி 
ஜூலை 
செப்டம்பர் 
ஆகஸ்ட"	ஆகஸ்ட்
13	ta-SG	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?	"மரீனா பே சேண்ட்ஸ் (Marina Bay Sands) 
தி ஆர்ட்ஸ் ஹவுஸ் (The Arts House) 
விக்டோரியா அரங்கம்  (Victoria Theatre) 
எஸ்பிளனேட் (The Esplanade)"	எஸ்பிளனேட் (The Esplanade)
14	ta-SG	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?	"ரிங்கிட் (Ringgit) 
பாட் (Baht) 
வெள்ளி (Dollar) 
ரூபியா (Rupiah)"	வெள்ளி (Dollar)
15	zh-SG	新加坡大多数国民居住的公共住房的通用简称是什么？	"DBS 
HPB 
HDB 
SAF"	HDB
16	zh-SG	自1959年以来，哪个政党一直是新加坡的执政党？	"工人党 (Workers' Party, WP) 
人民行动党 (People's Action Party, PAP) 
新加坡民主党 (Singapore Democratic Party, SDP) 
新加坡前进党 (Progress Singapore Party, PSP)"	"人民行动党 (People's Action Party, PAP)"
17	zh-SG	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。	"鱼尾狮 (The Merlion) 
新雅狮 (Singa the Courtesy Lion) 
亚洲水獭 (The Asian Otter) 
卓锦万代兰 (Vanda Miss Joaquim)"	鱼尾狮 (The Merlion)
18	zh-SG	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。	"实里达机场 (Seletar Airport) 
樟宜机场 (Changi Airport) 
巴耶利峇机场 (Paya Lebar Airport) 
滨海湾机场 (Marina Bay Airport)"	樟宜机场 (Changi Airport)
19	zh-SG	新加坡每年的国庆日在几月份？	"二月 
七月 
九月 
八月"	八月
20	zh-SG	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？	"滨海湾金沙 (Marina Bay Sands) 
旧国会大厦艺术之家 (The Arts House)
维多利亚剧院 (Victoria Theatre) 
滨海艺术中心 (The Esplanade)"	滨海艺术中心 (The Esplanade)
21	zh-SG	新加坡的官方货币是什么？	"令吉 (Ringgit) 
泰铢 (Baht) 
元 (Dollar) 
卢比 (Rupiah)"	元 (Dollar)
22	es-EC	¿Cuál es la ciudad más poblada de Ecuador?	"Quito
Cuenca
Guayaquil
Ambato"	Guayaquil
23	es-EC	¿Cuántas provincias tiene Ecuador?	"20
22
24
26"	24
24	es-EC	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?	"Cotopaxi
Cayambe
Chimborazo
Antisana"	Chimborazo
25	es-EC	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?	"El país de los volcanes
El país de los cuatro mundos
La mitad del mundo
El corazón de Sudamérica"	El país de los cuatro mundos
26	es-EC	¿Cuál es la moneda oficial de Ecuador desde el año 2000?	"Sucre
Peso ecuatoriano
Dólar estadounidense
Nuevo sol"	Dólar estadounidense
27	es-EC	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?	"Amazonia
Islas Galápagos
Isla de la Plata
Isla Puná"	Islas Galápagos
28	es-EC	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?	"Guayaquil
Cuenca
Quito
Loja"	Quito
29	es-EC	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?	"Richard Carapaz
Jefferson Pérez
Neisi Dajomes
Andrés Gómez"	Jefferson Pérez
30	en-GB	Which of these family holiday destinations is located in Cumbria?	"Ben Nevis
The Lake District
Loch Ness
Snowdonia"	The Lake District
31	en-GB	What is the name of Prince Harry’s wife?	"Charlotte
Madeline
Meghan
Chloe"	Meghan
32	en-GB	Which kids show has a blue boat as its symbol?	"Octonauts
Grandpa in my Pocket
Jack and the Neverland Pirates
Blue Peter"	Blue Peter
33	en-GB	In which TV show would you expect to find Daleks and Cybermen?	"Doctor Who
Humans
Thunderbirds
Emmerdale"	Doctor Who
34	en-GB	Which significant historical event took place in 1066?	"Norman conquest
Great fire of London
Execution of Charles I
Death of Henry I"	Norman conquest
35	zh-CN	1. 中国的国庆节是哪一天？	"1月1日
5月1日
7月1日
10月1日"	10月1日
36	zh-CN	2. 哪个动物被称为中国“国宝”？	"大熊猫
金丝猴
藏羚羊
白鹇"	大熊猫
37	zh-CN	3. 中国的首都是哪个城市？	"上海
北京
深圳
重庆"	北京
38	zh-CN	4. 中国的“端午节”通常是为了纪念哪位古代文学家？	"杜牧
苏轼
屈原
白居易"	屈原
39	zh-CN	5. 中国的“母亲河”是哪条河流？	"黄河
长江
珠江
黄浦江"	黄河
40	es-ES	¿Quién es el presidente de España?	"José Luis Rodríguez Zapatero
Mariano Rajoy
Pedro Sánchez
Alberto Núñez Feijó"	Pedro Sánchez
41	es-ES	¿Cuál es el deporte más popular en España?	"Fútbol
Baloncesto
Criquet
Golf"	Fútbol
42	es-ES	¿Cuál es la obra literaria española más reconocida internacionalmente?	"El cantar del Mío Cid
Don Quijote de la Mancha
Las aventuras de Huckleberry Finn
Los tres mosqueteros"	Don Quijote de la Mancha
43	es-ES	¿Por qué monumento romano es conocida la ciudad de Segovia?	"La Giralda
El palacio de la Alhambra
La fuente de la Cibeles
El acueducto"	El acueducto
44	es-ES	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?	"Madrid
Sevilla
Barcelona
Cádiz"	Barcelona
45	es-MX	¿Cuáles son los colores de la bandera del país?	"Verde, Amarillo, Rojo
Verde, Blanco, Rojo
Blanco, Rojo, Cafe"	"Verde, Blanco, Rojo"
46	es-MX	¿Quién fue el autor del himno nacional?	"Francisco I. Madero
Miguel Hidalgo
Jaime Nunó
Benito Juarez"	Jaime Nunó
47	es-MX	¿Cuál es la capital del país?	"Monterrey
Guadalajara
Queretaro
Ciudad de México"	Ciudad de México
48	es-MX	¿Quién es el presidente del país?	"Felipe Calderon Hinojosa
Andres Manuel Lopez Obrador
Ciro Gomez Leiva
Enrique Peña Nieto"	Andres Manuel Lopez Obrador
49	es-MX	¿Cual es la comida callejera más típica en el país?	"Atun
Hot Dogs
Tacos"	Tacos
50	id-ID	Siapa presiden pertama Indonesia?	"Soekarno
Megawati Soekarnoputri
Mohammad Hatta
Soeharto"	Soekarno
51	id-ID	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?	"15 Agustus 1948
17 Agustus 1929
17 Agustus 1945
17 September 1950"	17 Agustus 1945
52	id-ID	"Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?"	"Pulang Besar
Mudik
Bedol Desa
Arus Balik"	Mudik
53	id-ID	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?	"Betamart
Toko Indonesia
Jakarta
Indomaret"	Indomaret
54	id-ID	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?	"Pengumpulan
Upacara
Wisuda
Barisan"	Upacara
55	ko-KR	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?	"딤섬
김밥
칼국수
닭도리탕"	김밥
56	ko-KR	한국의 대표적인 전통 놀이가 아닌 것은?	"고무줄놀이
스모
딱지치기
윷놀이"	스모
57	ko-KR	한국 전래동화 속 나쁜 사람은?	"직녀
심청이
콩쥐
놀부"	놀부
58	ko-KR	한국에서 이삿날 먹는 음식으로 유명한 것은?	"짜장면
삼계탕
순두부찌개
파스타"	짜장면
59	ko-KR	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?	"홍대
명동
노량진
혜화"	노량진
60	el-GR	1. Ποιος είναι ο πρωθυπουργός της Ελλάδας	"Κυριάκος Μητσοτάκης
Αλέξης Τσίπρας
Αντώνης Σαμαράς
Κώστας Καραμανλής"	Κυριάκος Μητσοτάκης
61	el-GR	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;	"Ο Παρθενώνας
Ο Λευκός Πύργος
Πλατεία Συντάγματος
Ο Ναός του Ολυμπίου Διός"	Ο Παρθενώνας
62	el-GR	3. Τι γιορταζουμε την 28η Οκτωβρίου;	"Ημέρα της Ανεξαρτησίας
Γιορτή του Αγίου Δημητρίου
Επέτειο του Πολυτεχνείου
Επέτειο του Όχι"	Επέτειο του Όχι
63	el-GR	4. Ποιος έχει γράψει το εθνικο ύμνο (Ύμνος εἰς τὴν Ἐλευθερίαν);	"Γιώργος Σεφέρης
Διονύσιος Σολωμός
Κωνσταντίνος Καβάφης
Οδυσσέας Ελύτης"	Διονύσιος Σολωμός
64	el-GR	5. Ποια ελληνικη πόλη λέγεται και “συμπρωτεύουσα”;	"Πάτρα
Θεσσαλονίκη
Λάρισα
Ηράκλειο"	Θεσσαλονίκη
65	fa-IR	دین رسمی ایران چیست؟	"مسیحیت
یهودی
اسلام
زرتشتی"	اسلام
66	fa-IR	پایتخت ایران کجا است؟	"مشهد
تهران
اصفهان
رشت"	تهران
67	fa-IR	چه رنگ هایی در پرچم ایران وجود دارد؟	"سبز و آبی و سفید
قرمز و سفید و زرد
آبی و سفید و سیاه
سبز و سفید و قرمز"	سبز و سفید و قرمز
68	fa-IR	کدام یک از این کشور ها همسایه ایران است؟	"عراق
کویت
ازبکستان
روسیه"	عراق
69	fa-IR	زبان رایج در ایران چیست؟	"عربی
فارسی
ترکی
کردی"	فارسی
70	ar-EG	أى من المحافظات المصرية الآتية معروفة بزراعة المانجو؟	"الإسماعيلية
الفيوم
بورسعيد
طنطا"	الإسماعيلية
71	ar-EG	من هو أشهر محترف مصري في الدوري الإنجليزي؟	"أحمد المحمدي
محمد شوقي
محمد صلاح
أحمد فتحي"	محمد صلاح
72	ar-EG	ما هو اسم الهرم الأكبر؟	"خوفو
خفرع
رع
منكورع"	خوفو
73	ar-EG	ما اسم أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية؟	"خان الخليلي
مصر الجديدة
التجمع الخامس
العاشر من رمضان"	خان الخليلي
74	ar-EG	في أي يوم من شهر أكتوبر دخلت مصر أشهر حرب في تاريخها الحديث؟	"الثالث
الرابع
الخامس
السادس"	السادس
75	ar-EG	ما هو اسم اللغة المصرية القديمة؟	"الأشورية
الهيلينية
الفرعونية
الهيروغليفية"	الهيروغليفية
76	ar-EG	ما هى أسماء البحرين اللذين تطل عليهم مصر؟	"الأبيض والأحمر
الأبيض والأصفر
الأصفر والأحمر
الأصفر والأخضر"	الأبيض والأحمر
77	ar-MA	. ما هي عاصمة المغرب؟	"الدار البيضاء
مراكش
الرباط
فاس"	الرباط
78	ar-MA	٢. ما هي العملة الرسمية للمغرب؟	"الدينار
الدرهم
الريال
اليورو"	الدرهم
79	ar-MA	"٣. أي مدينة مغربية تشتهر بلقب ""المدينة الزرقاء""؟"	"طنجة
شفشاون
الصويرة
أغادير"	شفشاون
80	ar-MA	٤. ما هو المشروب الوطني الأكثر شعبية في المغرب ويُقدَّم كرمز للضيافة؟	"القهوة
عصير البرتقال
الشاي بالنعناع
الحليب باللوز"	الشاي بالنعناع
81	ar-MA	٥. ما اسم السلسلة الجبلية الرئيسية التي تمتد عبر المغرب؟	"جبال الألب
جبال البرانس
جبال الأطلس
جبال القوقاز"	جبال الأطلس
82	ar-MA	٦. أي من هذه الأطباق هو طبق مغربي تقليدي يتكون من السميد ويُقدَّم غالبًا مع اللحم والخضروات؟	"الكسكس
الطاجين
الحريرة
البسطيلة"	الكسكس
83	ar-MA	٧. ما هو المصطلح الذي يطلق على السوق التقليدي في المغرب؟	"قصبة
رياض
سوق
مدينة"	سوق
84	ar-SA	١- أي من مناطق المملكة العربية السعودية مشهورة بزراعة المانجو خلال فصل الصيف؟	"الطائف
أبها
تبوك
جازان"	جازان
85	ar-SA	٢- من هو الفنان الملقب بفنان العرب بالمملكة العربية السعودية؟	"راشد الماجد
محمد عبده
رابح صقر
طلال مداح"	محمد عبده
86	ar-SA	٣- ما هو اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس (يوم التأسيس السعودي)؟	"٢٢ فبراير
٣٠ فبراير
٢٣ سبتمبر
٢٢ سبتمبر"	٢٢ فبراير
87	ar-SA	٤- ما هو اليوم الوطني السنوي الذي تحتفل فيه المملكة العربية السعودية؟	"٢٢ فبراير
٣٠ فبراير
٢٣ سبتمبر
٢٢ سبتمبر"	٢٣ سبتمبر
88	ar-SA	٥- من هو أفضل لاعب سعودي حاليا بنادي الهلال السعودي؟	"عبدالرحمن غريب
سلطان الغنّام
محمد الشلهوب
سالم الدوسري"	سالم الدوسري
89	ar-SA	٦- في أي مدينة يقع قصر المصمك التاريخي؟	"المدينة
الرياض
مكة المكرمة
الدمام"	الرياض
90	ar-SA	٧- ما هي المدينة المشهورة بزراعة وتجارة الورد في المملكة العربية السعودية؟	"الطائف
الباحة
أبها
القصيم"	الطائف
91	en-AU	What are 3 things every Australian town had when it was first formed?	"church, post office, pub
church, dance hall, milkbar
milkbar, church, shopping centre
grocery store, gas station, pharmacy"	"church, post office, pub"
92	en-AU	What footy team would Bob barrack for if his grandfather lived in Fitzroy?	"Brisbane Lions
Essendon
Carlton
Bombers"	Brisbane Lions
93	en-AU	Where did the first fleet arrive in Australia?	"Botany Bay, NSW
Queensland, Brisbane
Melbourne, Victoria
Perth, Western Australia"	"Botany Bay, NSW"
94	en-AU	What is a common four-word Australian phrase?	"""Don't worry about tomorrow!""
""Handle your losses well""
""She'll be right, mate""
""Patty on the barbie"""	"""She'll be right, mate"""
95	en-AU	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?	"Australia
Red Dog
The Tracker
Crocodile Dundee"	Crocodile Dundee
96	en-AU	Who was the most loved Australian prime minister?	"Daniel Andres
John Howard
Tony Abbott
Bob Hawke"	Bob Hawke
97	en-AU	What do Australians need to do to prevent fires in summer?	"Water their gardens
Install fire management systems around their properties
Controlled burning/ hazard reduction burning
Plant more trees in their yards"	Controlled burning/ hazard reduction burning
98	eu-ES	Zein da Euskal Herriko janari azkar tradizional tipikoena?	"Cicchetti
Sandwich
Pintxo
Kebab"	Pintxo
99	eu-ES	Zein da Euskal Herriko kirol tradizional ezagunena?	"Esku-pilota
Futbola
Saskibaloia
Hockeya"	Esku-pilota / Hand-ball
100	eu-ES	Zein da Euskal Herriko kirolik jarraituena?	"Esku-pilota
Futbola
Saskibaloia
Hockeya"	Futbola
101	eu-ES	Zein da Euskal Herriko dantza tradizional ezagunena?	"Flamenco
Sardana
Aurresku
Jota"	Aurresku
102	eu-ES	"Tradizionalki, zer erabili dute gizonek burua estaltzeko Euskal Herrian?"	"Txapela
Bisera
Zapia
Kaputxa"	Txapela
103	eu-ES	Nola deitzen da Euskal Herriko poesia inprobisatua?	"Txapela
Theater
Bertsolaritza
Maskarada"	Bertsolaritza
104	eu-ES	Zein da Euskal Herrian bertako hizkuntzan idatzia den egunkari ezagunena? / What is the most well-known newspaper written in the local language in the Basque Country?	"Deia
Berria
Marca
Diario Vasco"	Berria
105	fr-FR	Que ferai-je avec cette alouette?	"Je la plumerai
Je siffloterai en choeur avec elle
Je lui caresserai la tête
Je la libèrerai de sa cage"	Je la plumerai
106	fr-FR	De quelle couleur sont tous les chats la nuit ?	"beiges
noirs
gris
blancs"	gris
107	fr-FR	Que sert-on habituellement avec une côte de bœuf ?	"Un champagne
Un vin blanc sec
Un vin blanc sucré
Un vin rouge"	Un vin rouge
108	fr-FR	Que font en premier les canards en sortant de l'eau ?	"Ils pondent un oeuf
Ils font coin coin
ils se secouent le bas des reins
Ils se prennent le bec"	ils se secouent le bas des reins
109	fr-FR	Qu'est ce qu'une chocolatine ?	"Un chocolat avec de la nougatine
Un petit éclair au chocolat recouvert de noisettes
Un mini gâteau au chocolat servi avec le café
Un pain au chocolat"	Un pain au chocolat
110	fr-FR	"Cette année-là, je chantais..."	"Pour et juste pour toi
Pour la belle Mathilda
Pour la première fois
Pour oublier le froid"	Pour la première fois
111	fr-FR	Quel fromage mange-t-on le plus souvent chaud avec une salade ?	"Du camembert
Du reblochon
Du chèvre
Du rocquefort"	Du chèvre
112	fr-FR	Quel fruit change de nom lorsqu'il est séché ?	"L’abricot
La prune
Le raisin
La tomate"	La prune
113	ga-IE	Is minic a thugtar ar Éirinn:	"Tír na Naomh agus na Scoláirí
An Tír Íseal
Tír na Deise
An tÚll Mór"	Tír na Naomh agus na Scoláirí
114	ga-IE	Cé acu duine atá cáiliúil as a ról i gCath Chluain Tarbh?	"An Rí Anraí VIII
Brian Boru
Michael Collins
Brian O’Driscoll"	Brian Boru
115	ga-IE	Cé acu duine is dornálaí Éireannach cáiliúil?	"Katie Taylor
Michelle O’Neill
Andrea Corr
Susan Jones"	Katie Taylor
116	ga-IE	Cén spórt a bhaineann leis na “Sé Náisiún”?	"Sacar
Rugbaí
Snámh
Iománaíocht"	Rugbaí
117	ga-IE	Cé acu de na cainéal teilifíse Éireannach seo a leanas?	"RTÉ
MTV
Discovery Channel
Nickelodeon"	RTÉ
118	ga-IE	Cén chúige ina bhfuil príomhchathair na hÉireann suite?	"Mumhan
Laighean
Ulaidh
Connacht"	Laighean
119	ga-IE	Cá mbíonn cluichí ceannais na hÉireann a imrítear de ghnáth don iománaíocht agus don pheil Ghaelach?	"Staidiam Aviva
Páirc Uí Chaoimh
Páirc an Chrócaigh
An RDS"	Páirc an Chrócaigh
120	ta-LK	இலங்கையின் தற்போதைய ஜனாதிபதி யார்?	"ரணில் விக்கிரமசிங்க
அனுர குமார திஸாநாயக்க
மகிந்த ராஜபக்ஷ
கோட்டாபய ராஜபக்ஷ"	அனுர குமார திஸாநாயக்க
121	ta-LK	இலங்கையில் மிக உயரமான கட்டிடம் எது?	"தாமரைக் கோபுரம் (Lotus Tower)
ஒன் கால்பேஸ் (One Galle Face)
கோகாவில்க் கோபுரம் (Kokavil Tower)
உலக வர்த்தக மையக் கோபுரம் (World Trade Center Tower)"	தாமரைக் கோபுரம் (Lotus Tower)
122	ta-LK	பெரஹேரா (Perahera) விழாவில் முக்கியமாக பங்கேற்கும் விலங்கு எது?	"யானை
குதிரை
மயில்
மாடு"	யானை
123	ta-LK	புகழ்பெற்ற டளடா மாளிகை (Temple of the Tooth) இலங்கையின் எந்த மாகாணத்தில் உள்ளது?	"மத்திய மாகாணம்
கிழக்கு மாகாணம்
தெற்கு மாகாணம்
மேற்கு மாகாணம்"	மத்திய மாகாணம்
124	ta-LK	இலங்கை தேசியக்கொடியில் காணப்படும் விலங்கு எது?	"சிங்கம்
புலி
யானை
மயில்"	சிங்கம்
125	ta-LK	2004 டிசம்பரில் இலங்கையில் ஏற்பட்ட பெரும் சேதமும் உயிரிழப்பும் ஏற்படுத்திய இயற்கை பேரழிவு எது?	"சுழல்காற்று
சுனாமி
காட்டுத் தீ
வெள்ளம்"	சுனாமி
126	ta-LK	இலங்கையின் வர்த்தக தலைநகரம் எது?	"கொழும்பு
கண்டி
யாழ்ப்பாணம்
காலி"	கொழும்பு
127	tl-PH	Ano ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon?	"Baro't Saya
Kimona
Barong Tagalog
Salakot"	Barong Tagalog
128	tl-PH	Alin sa mga sumusunod ang pangunahing sangkap ng adobo?	"Luya at gata
Toyo at suka
Asukal at gatas
Bagoong at kamatis"	Toyo at suka
129	tl-PH	Ano ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan?	"Pandanggo sa Ilaw
Tinikling
Carinosa
Maglalatik"	Tinikling
130	tl-PH	Sino ang tinaguriang pambansang bayani ng Pilipinas?	"Andres Bonifacio
Emilio Aguinaldo
Apolinario Mabini
Jose Rizal"	Jose Rizal
131	tl-PH	Alin sa mga sumusunod ang isang halimbawa ng harana?	"Pagbibigay ng regalo tuwing Pasko
Pag-awit sa ilalim ng bintana ng nililigawan
Pagkanta sa karaoke kasama ang pamilya
Pagpapanood ng sine tuwing Sabado"	Pag-awit sa ilalim ng bintana ng nililigawan
132	tl-PH	Aling buwan karaniwang ginaganap ang Buwan ng Wika sa Pilipinas?	"Hunyo
Agosto
Setyembre
Oktubre"	Agosto
133	tl-PH	Anong tawag sa maliliit na lokal na government unit o komunidad sa Pilipinas na pinamumunuan ng kapitan?	"Barangay
Tribo
Sultanato
Lalawigan"	Barangay
134	tl-PH	Ano ang tradisyon ng mga Pilipino tuwing gabi ng Pasko kung saan dumadalo sa misa mula Disyembre 16 hanggang 24?	"Pabasa
Simbang Gabi
Misa de Gallo
Pasyon"	Simbang Gabi
135	bg-BG	Коя е столицата на България?	"Пловдив
Варна
София
Русе"	София
136	bg-BG	Кой е националният празник на България?	"3 март
6 май
24 май
1 март"	3 март
137	bg-BG	Как се казва българската азбука?	"Латиница
Гръцка
Глаголица
Кирилица"	Кирилица
138	bg-BG	Кой български революционер е известен като Апостола на свободата?	"Христо Ботев
Георги Бенковски
Панайот Волов
Васил Левски"	Васил Левски
139	bg-BG	Какво празнуваме на 24 май?	"Великден
Ден на независимостта
Ден на труда
Ден на българската просвета и култура и на славянската писменост"	Ден на българската просвета и култура и на славянската писменост
140	bg-BG	Кой е авторът на романа „Под игото“?	"Алеко Константинов
Пенчо Славейков
Иван Вазов
Пейо Яворов"	Иван Вазов
141	bg-BG	Кое ястие е традиционно българско?	"Пица
Шопска салата
Суши
Бургер"	Шопска салата
142	ja-JP	日本の2025年現在の年号は何ですか？	"昭和
令和
平成
明治"	令和
143	ja-JP	日本の一般的な朝ごはんといえばどれでしょう？	"ピザ
味噌汁
バゲット
アイスクリーム"	味噌汁
144	ja-JP	東京のシンボルといえばどれでしょう?	"太陽の塔
電波塔
名古屋ドーム
東京タワー"	東京タワー
145	ja-JP	東京で最も頭の良い私立大学はどこでしょう？	"慶應
駒場
青学
中央"	慶應
146	ja-JP	日本人が慣れ親しんだスポーツ飲料は？	"ポカリ
ドクターペッパー
ゲータレード
レモネード"	ポカリ
147	ja-JP	日本のお茶といえば？	"グリーンティ
アールグレイ
カモミール
ジャスミンティー"	グリーンティ
148	ja-JP	コンビニで売ってないもの	"おにぎり
タバコ
お酒
電車の切符"	おにぎり
